,魚,貝,くじら,海藻,水着,すいか,サンゴ,うきわ,太陽,ビーチ,波,船,サーフィン,つり,ビーチサンダル,釣り,アイス,かもめ,うみがめ,パラソル
普段それは海の中に存在していますか？,〇,〇,〇,〇,×,×,〇,×,×,×,×,×,×,×,×,×,×,×,〇,×
それは生物ですか？,〇,〇,〇,〇,×,〇,〇,×,×,×,×,×,×,×,×,×,×,〇,〇,×
それは自然のものですか？,〇,〇,〇,〇,×,〇,〇,×,〇,〇,〇,×,×,×,×,×,×,〇,〇,×
それは人工物ですか？,×,×,×,×,〇,×,×,〇,×,×,×,〇,〇,〇,〇,〇,〇,×,×,〇
それはスポーツですか？,×,×,×,×,×,×,×,×,×,×,×,×,〇,×,×,〇,×,×,×,×
それは食べることができますか？,〇,〇,〇,〇,×,〇,×,×,×,×,×,×,×,×,×,×,〇,×,×,×
それは海辺（海上）で使うものですか？,×,×,×,×,〇,×,×,〇,×,×,×,〇,〇,〇,〇,〇,×,×,×,〇
それは長距離の移動を自発的に行いますか？,〇,×,〇,×,×,×,×,×,〇,×,〇,×,×,×,×,×,×,〇,〇,×
それはお金で買うことができますか？,〇,〇,〇,〇,〇,〇,〇,〇,×,〇,×,〇,〇,〇,〇,〇,〇,〇,〇,〇
それは動物ですか？,〇,〇,〇,×,×,×,〇,×,×,×,×,×,×,×,×,×,×,〇,〇,×
それは哺乳類ですか？,×,×,〇,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
それは脊椎動物ですか？,〇,×,〇,×,×,×,×,×,×,×,×,×,×,×,×,×,×,〇,〇,×
